# ../../ReM/full_corpus/conll/M019-N1_11-1_P.ttl.conll
file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M019-N1_11-1_P.ttl.conll#s1_0	_	file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M019-N1_11-1_P.ttl.conll#bPARSE_13	DAT>ACC	DPOSA	NA	_	PPER	depOrCoord		11	1	P	

# ../../ReM/full_corpus/conll/M041-N1_11-1_P.ttl.conll

# ../../ReM/full_corpus/conll/M048M-N1_11-1_P.ttl.conll

# ../../ReM/full_corpus/conll/M056-N1_11-1_P.ttl.conll
file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M056-N1_11-1_P.ttl.conll#s9_0	esse	file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M056-N1_11-1_P.ttl.conll#bPARSE_44	DAT>ACC	_	NA	_	NA	main		11	1	P	

# ../../ReM/full_corpus/conll/M075-N1_11-1_P.ttl.conll

# ../../ReM/full_corpus/conll/M218A-N1_11-1_P.ttl.conll

# ../../ReM/full_corpus/conll/M036-N1_11-1_V.ttl.conll

# ../../ReM/full_corpus/conll/M037-N1_11-1_V.ttl.conll
file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M037-N1_11-1_V.ttl.conll#s2_0	ver-schièzen	file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M037-N1_11-1_V.ttl.conll#bPARSE_15	DAT>ACC	DDART	NA	_	NE	main		11	1	V	

# ../../ReM/full_corpus/conll/M104-N1_11-1_V.ttl.conll

# ../../ReM/full_corpus/conll/M019-N1_11-1_P.ttl.conll
file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M019-N1_11-1_P.ttl.conll#s1_0	_	file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M019-N1_11-1_P.ttl.conll#bPARSE_13	DAT>ACC	DPOSA	NA	_	PPER	depOrCoord		11	1	P	

# ../../ReM/full_corpus/conll/M041-N1_11-1_P.ttl.conll

# ../../ReM/full_corpus/conll/M048M-N1_11-1_P.ttl.conll

# ../../ReM/full_corpus/conll/M056-N1_11-1_P.ttl.conll
file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M056-N1_11-1_P.ttl.conll#s9_0	esse	file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M056-N1_11-1_P.ttl.conll#bPARSE_44	DAT>ACC	_	NA	_	NA	main		11	1	P	

# ../../ReM/full_corpus/conll/M075-N1_11-1_P.ttl.conll

# ../../ReM/full_corpus/conll/M218A-N1_11-1_P.ttl.conll

# ../../ReM/full_corpus/conll/M049-N1_11-2_P.ttl.conll

# ../../ReM/full_corpus/conll/M050-N1_11-2_P.ttl.conll

# ../../ReM/full_corpus/conll/M091-N1_11-2_P.ttl.conll
file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M091-N1_11-2_P.ttl.conll#s1_0	ge-vrümen	file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M091-N1_11-2_P.ttl.conll#bPARSE_73	DAT>ACC	DDART	NA	_	NA	depOrCoord		11	2	P	

# ../../ReM/full_corpus/conll/M093-N1_11-2_P.ttl.conll
file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M093-N1_11-2_P.ttl.conll#s3_0	tuon	file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M093-N1_11-2_P.ttl.conll#bPARSE_159	DAT>ACC	_	NA	_	PPER	main		11	2	P	

# ../../ReM/full_corpus/conll/M095-N1_11-2_P.ttl.conll
file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M095-N1_11-2_P.ttl.conll#s14_0	ver-gëben	file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M095-N1_11-2_P.ttl.conll#bPARSE_283	DAT>ACC	DPOSA	NA	_	PPER	depOrCoord		11	2	P	
file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M095-N1_11-2_P.ttl.conll#s13_0	biten	file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M095-N1_11-2_P.ttl.conll#bPARSE_252	DAT>ACC	_	NA	_	NA	main		11	2	P	

# ../../ReM/full_corpus/conll/M097-N1_11-2_P.ttl.conll

# ../../ReM/full_corpus/conll/M128-N1_11-2_P.ttl.conll

# ../../ReM/full_corpus/conll/M150-N1_11-2_P.ttl.conll
file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M150-N1_11-2_P.ttl.conll#s10_0	hëlfen	file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M150-N1_11-2_P.ttl.conll#bPARSE_324	DAT>ACC	_	NA	_	PPER	main		11	2	P	
file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M150-N1_11-2_P.ttl.conll#s23_0	ge-tuon	file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M150-N1_11-2_P.ttl.conll#bPARSE_756	ACC>DAT	_	NA	_	PPER	depOrCoord		11	2	P	
file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M150-N1_11-2_P.ttl.conll#s6_0	gëben	file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M150-N1_11-2_P.ttl.conll#bPARSE_172	DAT>ACC	_	NA	_	PPER	main		11	2	P	
file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M150-N1_11-2_P.ttl.conll#s5_0	gëben	file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M150-N1_11-2_P.ttl.conll#bPARSE_162	DAT>ACC	_	NA	_	PPER	main		11	2	P	

# ../../ReM/full_corpus/conll/M155-N1_11-2_P.ttl.conll

# ../../ReM/full_corpus/conll/M182A-N1_11-2_P.ttl.conll

# ../../ReM/full_corpus/conll/M182B-N1_11-2_P.ttl.conll

# ../../ReM/full_corpus/conll/M182C-N1_11-2_P.ttl.conll
file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M182C-N1_11-2_P.ttl.conll#s31_0	lâzen	file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M182C-N1_11-2_P.ttl.conll#bPARSE_774	ACC>DAT	_	PPER	_	NA	main		11	2	P	

# ../../ReM/full_corpus/conll/M197-N1_11-2_P.ttl.conll

# ../../ReM/full_corpus/conll/M218B-N1_11-2_P.ttl.conll

# ../../ReM/full_corpus/conll/M229-N1_11-2_P.ttl.conll

# ../../ReM/full_corpus/conll/M242-G1_11-2_P.ttl.conll

# ../../ReM/full_corpus/conll/M242Y-N0_11-2_P.ttl.conll

# ../../ReM/full_corpus/conll/M244-G1_11-2_P.ttl.conll

# ../../ReM/full_corpus/conll/M049-N1_11-2_P.ttl.conll

# ../../ReM/full_corpus/conll/M050-N1_11-2_P.ttl.conll

# ../../ReM/full_corpus/conll/M091-N1_11-2_P.ttl.conll
file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M091-N1_11-2_P.ttl.conll#s1_0	ge-vrümen	file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M091-N1_11-2_P.ttl.conll#bPARSE_73	DAT>ACC	DDART	NA	_	NA	depOrCoord		11	2	P	

# ../../ReM/full_corpus/conll/M093-N1_11-2_P.ttl.conll
file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M093-N1_11-2_P.ttl.conll#s3_0	tuon	file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M093-N1_11-2_P.ttl.conll#bPARSE_159	DAT>ACC	_	NA	_	PPER	main		11	2	P	

# ../../ReM/full_corpus/conll/M095-N1_11-2_P.ttl.conll
file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M095-N1_11-2_P.ttl.conll#s14_0	ver-gëben	file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M095-N1_11-2_P.ttl.conll#bPARSE_283	DAT>ACC	DPOSA	NA	_	PPER	depOrCoord		11	2	P	
file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M095-N1_11-2_P.ttl.conll#s13_0	biten	file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M095-N1_11-2_P.ttl.conll#bPARSE_252	DAT>ACC	_	NA	_	NA	main		11	2	P	

# ../../ReM/full_corpus/conll/M097-N1_11-2_P.ttl.conll

# ../../ReM/full_corpus/conll/M128-N1_11-2_P.ttl.conll

# ../../ReM/full_corpus/conll/M150-N1_11-2_P.ttl.conll
file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M150-N1_11-2_P.ttl.conll#s10_0	hëlfen	file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M150-N1_11-2_P.ttl.conll#bPARSE_324	DAT>ACC	_	NA	_	PPER	main		11	2	P	
file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M150-N1_11-2_P.ttl.conll#s23_0	ge-tuon	file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M150-N1_11-2_P.ttl.conll#bPARSE_756	ACC>DAT	_	NA	_	PPER	depOrCoord		11	2	P	
file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M150-N1_11-2_P.ttl.conll#s6_0	gëben	file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M150-N1_11-2_P.ttl.conll#bPARSE_172	DAT>ACC	_	NA	_	PPER	main		11	2	P	
file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M150-N1_11-2_P.ttl.conll#s5_0	gëben	file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M150-N1_11-2_P.ttl.conll#bPARSE_162	DAT>ACC	_	NA	_	PPER	main		11	2	P	

# ../../ReM/full_corpus/conll/M155-N1_11-2_P.ttl.conll

# ../../ReM/full_corpus/conll/M182A-N1_11-2_P.ttl.conll

# ../../ReM/full_corpus/conll/M182B-N1_11-2_P.ttl.conll

# ../../ReM/full_corpus/conll/M182C-N1_11-2_P.ttl.conll
file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M182C-N1_11-2_P.ttl.conll#s31_0	lâzen	file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M182C-N1_11-2_P.ttl.conll#bPARSE_774	ACC>DAT	_	PPER	_	NA	main		11	2	P	

# ../../ReM/full_corpus/conll/M197-N1_11-2_P.ttl.conll

# ../../ReM/full_corpus/conll/M218B-N1_11-2_P.ttl.conll

# ../../ReM/full_corpus/conll/M229-N1_11-2_P.ttl.conll

# ../../ReM/full_corpus/conll/M242-G1_11-2_P.ttl.conll

# ../../ReM/full_corpus/conll/M242Y-N0_11-2_P.ttl.conll

# ../../ReM/full_corpus/conll/M244-G1_11-2_P.ttl.conll

# ../../ReM/full_corpus/conll/M001-N1_12-1_PV.ttl.conll
file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M001-N1_12-1_PV.ttl.conll#s8_0	zièhen	file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M001-N1_12-1_PV.ttl.conll#bPARSE_62	ACC>DAT	_	PPER	_	NA	main		12	1	P	

# ../../ReM/full_corpus/conll/M002-N1_12-1_P.ttl.conll

# ../../ReM/full_corpus/conll/M003-N1_12-1_P.ttl.conll

# ../../ReM/full_corpus/conll/M010-N1_12-1_P.ttl.conll

# ../../ReM/full_corpus/conll/M015-N1_12-1_P.ttl.conll

# ../../ReM/full_corpus/conll/M034-N1_12-1_PV.ttl.conll

# ../../ReM/full_corpus/conll/M035-N1_12-1_P.ttl.conll

# ../../ReM/full_corpus/conll/M040-N1_12-1_P.ttl.conll

# ../../ReM/full_corpus/conll/M048P-N1_12-1_P.ttl.conll
file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M048P-N1_12-1_P.ttl.conll#s16_0	ge-bièten	file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M048P-N1_12-1_P.ttl.conll#bPARSE_131	DAT>ACC	_	PPER	_	PPER	main		12	1	P	

# ../../ReM/full_corpus/conll/M052-N1_12-1_P.ttl.conll
file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M052-N1_12-1_P.ttl.conll#s4_0	er-stërben wëllen be-swèr(e)n	file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M052-N1_12-1_P.ttl.conll#bPARSE_17	ACC>DAT	_	PPER	DDART	NA	main		12	1	P	

# ../../ReM/full_corpus/conll/M054-N1_12-1_P.ttl.conll
file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M054-N1_12-1_P.ttl.conll#s2_0	dicere	file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M054-N1_12-1_P.ttl.conll#bPARSE_24	ACC>DAT	_	NA	_	NA	depOrCoord		12	1	P	

# ../../ReM/full_corpus/conll/M080-N1_12-1_P.ttl.conll

# ../../ReM/full_corpus/conll/M085-N1_12-1_P.ttl.conll
file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M085-N1_12-1_P.ttl.conll#s1_0	ge-hèizen	file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M085-N1_12-1_P.ttl.conll#bPARSE_7	ACC>DAT	_	NA	_	NA	main		12	1	P	
file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M085-N1_12-1_P.ttl.conll#s1_0	ge-hèizen	file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M085-N1_12-1_P.ttl.conll#bPARSE_7	ACC>DAT	_	NA	DDART	NA	main		12	1	P	
file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M085-N1_12-1_P.ttl.conll#s1_0	ge-hèizen	file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M085-N1_12-1_P.ttl.conll#bPARSE_7	ACC>DAT	_	NA	DPOSA	NA	main		12	1	P	

# ../../ReM/full_corpus/conll/M089-G1_12-1_P.ttl.conll

# ../../ReM/full_corpus/conll/M094-N1_12-1_P.ttl.conll

# ../../ReM/full_corpus/conll/M126-N1_12-1_P.ttl.conll
file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M126-N1_12-1_P.ttl.conll#s16_0	mischen	file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M126-N1_12-1_P.ttl.conll#bPARSE_287	ACC>DAT	_	PPER	_	NA	main		12	1	P	
file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M126-N1_12-1_P.ttl.conll#s25_0	_	file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M126-N1_12-1_P.ttl.conll#bPARSE_450	DAT>ACC	_	NA	DDART	NA	main		12	1	P	

# ../../ReM/full_corpus/conll/M153-N1_12-1_P.ttl.conll

# ../../ReM/full_corpus/conll/M159-N1_12-1_P.ttl.conll
file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M159-N1_12-1_P.ttl.conll#s25_0	swèr(e)n	file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M159-N1_12-1_P.ttl.conll#bPARSE_522	DAT>ACC	_	NA	_	PPER	depOrCoord		12	1	P	
file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M159-N1_12-1_P.ttl.conll#s26_0	swèr(e)n	file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M159-N1_12-1_P.ttl.conll#bPARSE_554	DAT>ACC	_	NA	_	PPER	main		12	1	P	
file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M159-N1_12-1_P.ttl.conll#s29_0	gëben	file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M159-N1_12-1_P.ttl.conll#bPARSE_602	ACC>DAT	DDART	NA	DDART	NA	depOrCoord		12	1	P	
file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M159-N1_12-1_P.ttl.conll#s26_0	bringen	file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M159-N1_12-1_P.ttl.conll#bPARSE_547	DAT>ACC	DDART	NA	DDART	NA	main		12	1	P	
file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M159-N1_12-1_P.ttl.conll#s42_0	künden	file:///home/christian/Desktop/github/germhist/ReM/full_corpus/conll/M159-N1_12-1_P.ttl.conll#bPARSE_780	DAT>ACC	DIART	NA	_	PPER	main		12	1	P	

# ../../ReM/full_corpus/conll/M163K-N1_12-1_P.ttl.conll

# ../../ReM/full_corpus/conll/M178-N1_12-1_P.ttl.conll
